raceId,year,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
18,2008,0,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
36,2007,1,0,0,0,0
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
55,2006,1,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
71,2005,0,0,0,0,1
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
90,2004,0,0,1,0,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
108,2003,1,0,1,1,0
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
124,2002,1,0,0,0,1
141,2001,1,0,0,0,0
141,2001,1,0,0,0,0
141,2001,1,0,0,0,0
141,2001,1,0,0,0,0
141,2001,1,0,0,0,0
